"","countries","new_domexp","anthonyMan","ManualExtrap","AnthonyNeeds","ExtrapExpRish","ManualExtrapRishman","RishmanNeeds","EmExtrapExp","Wise_Manual_Exp","EmNeeds"
"138","Gambia",NA,2166919.37048096,2166919.37048096,4043671.65995518,2560338.47086286,2166919.37048096,2174561.72737022,5701702.69736588,5701702.69736588,80852008.2330839
"139","Guinea",43000,9479615.71299173,43000,95807.6581559708,12859170.5489767,43000,18923641.0726027,9017274.49347544,43000,85325489.1634865
"140","Guinea-Bissau",NA,1215805.74066376,1215805.74066376,2328890.7661406,1443755.59145002,1215805.74066376,1460096.44565167,3545384.56363659,3545384.56363659,77942631.3158239
"141","Haiti",NA,2926873.09276181,2926873.09276181,5388051.34003803,3432955.78816395,2926873.09276181,2558180.52928156,3761335.45731719,3761335.45731719,78233999.5214278
"142","Kiribati",NA,NA,NA,NA,624597.989736567,NA,617082.783338194,6723129.79275457,6723129.79275457,82230152.0085797
"143","Lao PDR",NA,18876105.5245292,18876105.5245292,31939347.7114512,12029492.6552651,18876105.5245292,13785931.3777896,6413087.39575104,6413087.39575104,81811832.3835186
"144","Lesotho",NA,6654579.79448867,6654579.79448867,11803590.1129972,8711924.84968113,6654579.79448867,7306333.70175939,13255606.164099,13255606.164099,91043988.7379802
"145","Liberia",NA,5641523.13410132,5641523.13410132,10081704.2976925,3688094.69166127,5641523.13410132,3155744.57581442,3265400.67122411,3265400.67122411,77564867.6356657
"146","Madagascar",11667000,20766574.4032016,11667000,20175477.7393654,41955896.1460827,11667000,107431013.616579,21616531.5506442,11667000,102324830.347599
"147","Malawi",21286000,10617977.745677,21286000,35821809.4654109,15071905.9601943,21286000,15553244.2809323,10463044.1465297,21286000,87276170.1833582
"148","Mali",NA,34493808.5310469,34493808.5310469,56795279.5793701,23112774.3033793,34493808.5310469,19018789.0356368,6160059.61931134,6160059.61931134,81470438.8012432
"149","Mauritania",6327000,33180778.8216316,6327000,11248196.352263,24046231.9850248,6327000,24371821.2257346,6575684.53906388,6327000,82031213.9154768
"150","Mozambique",NA,34665025.8179207,34665025.8179207,57064413.6824626,44207787.3334145,34665025.8179207,51685218.6412296,17981298.1434685,17981298.1434685,97420051.2251422
"151","Myanmar",13700000,53611564.6454012,13700000,23519597.2005497,30268360.6908802,13700000,33071440.2120049,19641059.2117177,13700000,99659456.6563713
"152","Nepal",NA,14745847.3432537,14745847.3432537,25230971.9422224,13750688.1632038,14745847.3432537,15622674.7560086,9135095.43347084,9135095.43347084,85484457.1366397
"153","Niger",NA,31874172.7762349,31874172.7762349,52669780.7468031,26510684.0577922,31874172.7762349,27218440.4817698,5829353.34786109,5829353.34786109,81024238.7820992
"154","Rwanda",NA,14323909.1362885,14323909.1362885,24541215.7866707,30990362.4837487,14323909.1362885,33729313.6524493,16882399.6885967,16882399.6885967,95937380.486995
"155","Sao Tome and Principe",NA,470733.353937098,470733.353937098,941236.490673331,537311.558053085,470733.353937098,596012.230147236,5371258.65388726,5371258.65388726,80406162.0207348
"156","Senegal",NA,35308745.6327292,35308745.6327292,58075732.6537492,34843972.0600868,35308745.6327292,40038201.6411312,19189642.846266,19189642.846266,99050390.5203613
"157","Sierra Leone",NA,6331652.08151125,6331652.08151125,11256092.6560597,6528366.76212458,6331652.08151125,6426364.49486618,6430441.45372986,6430441.45372986,81835247.0619534
"158","Solomon Islands",NA,NA,NA,NA,2136008.75765226,NA,1637676.40816137,3542956.20220823,3542956.20220823,77939354.8889479
"159","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","South Sudan",160652000,NA,160652000,246738508.458689,NA,160652000,NA,NA,160652000,NA
"161","Sudan",7527000,NA,7527000,13276864.6635838,NA,7527000,NA,NA,7527000,NA
