"","countries","new_domexp","anthonyMan","ManualExtrap","AnthonyNeeds","ExtrapExpRish","ManualExtrapRishman","RishmanNeeds","EmExtrapExp","Wise_Manual_Exp","EmNeeds"
"61","Fiji",NA,8771197.18895941,8771197.18895941,15364822.0116194,5214143.82078626,8771197.18895941,3830133.80167533,7672133.15883202,7672133.15883202,83510579.2537435
"62","Gabon",NA,17748591.6554037,17748591.6554037,30115313.0473079,11102875.089243,17748591.6554037,38387622.7659294,5832781.16014406,5832781.16014406,81028863.7016678
"63","Ghana",NA,63093826.2364011,63093826.2364011,101087288.367149,79877514.5066585,63093826.2364011,95837972.7683546,47268577.9597827,47268577.9597827,136935433.734844
"64","Grenada",NA,805355.304466531,805355.304466531,1571676.17727163,603504.908402308,805355.304466531,448266.894563672,3455654.90407226,3455654.90407226,77821565.0426026
"65","Guatemala",NA,19430782.981402,19430782.981402,32834850.7582641,13651176.993679,19430782.981402,13651602.6014207,12509043.448717,12509043.448717,90036701.2243968
"66","Guyana",NA,17037314.8599726,17037314.8599726,28961966.4122271,8508557.47899556,17037314.8599726,6824623.97609062,4158477.73660387,4158477.73660387,78769837.2357944
"67","Honduras",4627000,14099418.4881545,4627000,8343173.12306476,8635015.44772078,4627000,8171587.68925098,6921363.15311926,4627000,82497615.1226047
"68","Hong Kong",NA,34271806.4516291,34271806.4516291,56446227.536934,5516643803.66361,34271806.4516291,7340663290.69443,291.340783375757,291.340783375757,73159472.3603936
"69","India",2.6e+09,1292585360.56969,2.6e+09,3520764335.45766,1931829487.85394,2.6e+09,3735032585.04087,1503710565.46361,2.6e+09,2102015926.02915
"70","Indonesia",NA,868795975.01269,868795975.01269,1236270397.30284,1450553065.07257,868795975.01269,7930199098.25631,3281243530.55844,3281243530.55844,4500323159.74501
"71","Iran",240455000,193154622.796622,240455000,362629103.153696,82694728.3634529,240455000,179284339.77992,66288352.9536073,240455000,162597553.564449
"72","Iraq",NA,25567634.890918,25567634.890918,42672084.3164399,8526032.31176997,25567634.890918,44583567.5851567,9181181.23227993,9181181.23227993,85546637.6457081
"73","Israel",NA,85118322.0846442,85118322.0846442,134539924.526094,58545018.5116349,85118322.0846442,52390501.7352289,69854831.8542255,69854831.8542255,167409566.795265
"74","Jamaica",NA,10285441.3406724,10285441.3406724,17888061.953939,8321345.08544629,10285441.3406724,7374387.53932474,10879673.0873695,10879673.0873695,87838299.9565961
"75","Jordan",NA,42410901.5495575,42410901.5495575,69181473.7698727,18042671.7333922,42410901.5495575,12606176.5593458,11785957.4498836,11785957.4498836,89061089.2860222
"76","Kenya",NA,63852846.0366253,63852846.0366253,102248052.038573,60435444.4366868,63852846.0366253,64213039.991116,34657735.3403776,34657735.3403776,119920460.920679
"77","Korea",2e+09,498452543.904203,2e+09,2740610254.22214,277458826.340276,2e+09,211306832.707059,404308927.378375,2e+09,618666276.174304
"78","Kuwait",5647000,20845477.5788211,5647000,10091048.8576672,8210098.20990897,5647000,59853279.2554219,17252533.6802046,5647000,96436777.7116592
"79","Lebanon",8320000,4501006.27165689,8319999.99999999,14609298.5246372,5345079.91166362,8319999.99999999,4135971.68075148,6562712.81782266,8320000,82013712.033094
"80","Libya",NA,21879780.4376205,21879780.4376205,36775278.5352215,5970843.0301008,21879780.4376205,33624360.5170193,2499739.37968192,2499739.37968192,76531811.6810697
"81","Malaysia",NA,394280548.224854,394280548.224854,581460272.538351,296918857.226004,394280548.224854,600157116.151264,310780020.086408,310780020.086408,492473930.195564
"82","Maldives",130000,502122.49958332,130000,275513.68284726,736732.258782452,130000,480454.448889782,292854.666885743,130000,73554208.6353823
"83","Marshall Islands",NA,NA,NA,NA,248040.570562666,NA,NA,5162693.52504007,5162693.52504007,80124758.9373392
"84","Mauritius",NA,9964407.83767954,9964407.83767954,17354605.163015,12059288.9521322,9964407.83767954,9385471.63399867,10550396.9178019,10550396.9178019,87394029.4789894
"85","Mexico",1.1e+09,497200872.362108,1.1e+09,1548650443.03513,619375429.242116,1.1e+09,1503543267.71042,960072224.703269,1.1e+09,1368520800.60894
"86","Micronesia (country)",5301000,NA,5301000,9499884.92169072,641523.015433974,5301000,NA,5985604.37837395,5301000,81235057.9253237
"87","Mongolia",NA,89085182.3961839,89085182.3961839,140520225.361334,137821824.53754,89085182.3961839,181300125.622395,32253087.8677197,32253087.8677197,116676029.710985
"88","Morocco",293567000,90751799.0520672,293567000,438748684.121802,110009702.507436,293567000,140077679.092775,68055332.9811517,293567000,164981622.420053
"89","Namibia",NA,117772305.679289,117772305.679289,183439535.766916,150145191.295569,117772305.679289,208973785.432751,38935546.9059665,38935546.9059665,125692228.096697
"90","Nauru",NA,NA,NA,NA,32664.6574023389,NA,NA,1222187.0834161,1222187.0834161,74808095.1741181
"91","Nicaragua",NA,12728583.5748177,12728583.5748177,21924720.4146536,10634170.3079802,12728583.5748177,12418907.051485,8776812.81290971,8776812.81290971,85001050.180212
"92","Nigeria",NA,67820929.5836601,67820929.5836601,108306429.569709,79681651.0081829,67820929.5836601,144254143.715389,74523861.7820164,74523861.7820164,173709178.937569
"93","Oman",NA,173755300.420605,173755300.420605,265918582.243659,60107830.251416,173755300.420605,200853047.839805,24813163.4821875,24813163.4821875,106637833.614201
"94","Pakistan",NA,72960705.3163353,72960705.3163353,116130042.618984,56277775.9186118,72960705.3163353,55458617.1062072,31530524.2546944,31530524.2546944,115701122.593105
"95","Palau",NA,NA,NA,NA,230155.89193575,NA,NA,3903902.37084813,3903902.37084813,78426355.5939868
"96","Panama",10202000,42597740.4960161,10202000,17749482.0590174,26591430.8045449,10202000,25907507.0368456,27537965.0359616,10202000,110314227.473095
"97","Papua New Guinea",NA,NA,NA,NA,16012906.2153716,NA,18179174.2505851,7670470.82521795,7670470.82521795,83508336.3773469
